s1d,s2d,s3d,s4d,s5d,s6d,s7d,s8d,s9d,s1c,s2c,s3c,s4c,s5c,s6c,s7c,s8c,s9c,action
-1,68.3963199844275,68.3963199844275,39.49478247524515,39.49478247524518,-1,35.041261392820864,129.0715315456119,41.19364967584065,False,True,True,True,True,False,True,True,True,1
-1,68.3963199844275,68.3963199844275,39.49478247524515,39.49478247524518,-1,35.041261392820864,132.44143506803258,41.19364967584065,False,True,True,True,True,False,True,True,True,1
-1,68.48231350270699,68.48231350270699,39.541618277799344,39.541618277799365,-1,35.03655234180438,135.76044060414205,41.14067379559581,False,True,True,True,True,False,True,True,True,1
-1,68.48231350270699,68.48231350270699,39.541618277799344,39.541618277799344,-1,35.03655234180441,139.0445265048827,41.14067379559581,False,True,True,True,True,False,True,True,True,1
-1,68.3963199844275,68.3963199844275,39.49478247524515,39.49478247524518,35.041261392820864,35.041261392820864,142.28117673398418,41.19364967584065,False,True,True,True,True,True,True,True,True,1
-1,68.48231350270699,68.48231350270699,39.541618277799344,39.541618277799365,35.03655234180438,35.03655234180438,145.60588528155805,41.14067379559581,False,True,True,True,True,True,True,True,True,1
-1,68.48231350270699,68.48231350270699,39.541618277799344,39.541618277799344,35.03655234180441,35.03655234180441,148.76355782549555,41.14067379559581,False,True,True,True,True,True,True,True,True,1
-1,68.3963199844275,68.3963199844275,39.49478247524515,39.49478247524518,35.041261392820864,35.041261392820864,-1,41.19364967584065,False,True,True,True,True,True,True,False,True,1
-1,68.48231350270699,68.48231350270699,39.541618277799344,39.541618277799365,35.03655234180438,35.03655234180438,-1,41.14067379559581,False,True,True,True,True,True,True,False,True,1
-1,68.48231350270699,68.48231350270699,39.541618277799344,39.541618277799344,35.03655234180441,35.03655234180441,-1,41.14067379559581,False,True,True,True,True,True,True,False,True,1
-1,68.48231350270699,68.48231350270699,39.541618277799344,39.541618277799344,35.03655234180441,35.03655234180441,-1,41.14067379559581,False,True,True,True,True,True,True,False,True,1
-1,68.48231350270699,68.48231350270699,39.541618277799344,39.541618277799344,35.03655234180441,35.03655234180441,-1,41.14067379559581,False,True,True,True,True,True,True,False,True,1
